lithium reserves in the world,latitudes,longitudes
Jujuy,-24.1857864,-65.2994767
Salta,-24.7821269,-65.4231976
Catamarca,-28.469581,-65.7795441
Greenbushes Lithium Mine,-33.8415,116.1425
Mount Cattlin Lithium Mine,-33.6014,120.0753
Mount Marion Lithium Mine,-31.3042,121.0822
Pilgangoora Lithium-Tantalum Project,-21.6475,119.4039
Salar de Uyuni,-20.25,-67.5
Minas Gerais,-17.930178,-43.7908453
Val d'Or,48.1199,77.783
Abitibi,47.6667,79.4333
Salar de Atacama,-23.8633,-68.05
Qinghai,35,96
Sichuan,30.5,102.5
Katanga,-8.8851145,26.419389
Ostrobothnia,63.2862024,21.4765526
Zinnwald-Georgenfeld,50.7369766,13.7573077
Upper Rhine Valley ,50.1614667,7.7008637
Sargipalli Mines,20.4304,84.32138
Mandya Mines,12.3136,76.47228
Bhavnagar Mines,21.5015,71.3827
Marlagalla Mines,13.27432,77.09024
Pudukottai Mines,10.23413,78.48086
Syrymbet Deposit,50.6761,72.0565
Karashoky Deposit,44.2876,70.6459
Shu Deposit,43.2142,75.3048
Zhanaarka Deposit,43.4373,77.0391
Aktyuz Ore Field,44.4827,70.3547
Bougouni Project,11.9144,7.5063
Diendio Project,11.9032,7.4444
Morila Project,11.0774,6.4729
Tabakarole Project,11.3537,6.6607
Sonora Lithium Project,29.6314,110.9288
La Ventana Lithium Deposit,27.8607,101.2477
Bacanora Lithium Project,27.9473,110.7912
Agua Fria Lithium Project,27.1406,101.5016
Las Minas Lithium Project,26.0158,102.3921
Macusani Lithium Project,14.1222,70.7358
Pastos Grandes Lithium Project,21.4546,67.5852
Falchani Lithium Project,14.4381,70.7867
Antilla Lithium Project,13.3377,75.7519
Quellopaya Lithium Project,20.3358,66.8296
Boticas Lithium Project,41.6802,7.7232
Gonçalo Lithium Project,40.8316,7.8509
Barroso-Alvão Lithium Project,41.5177,7.6487
Covas do Barroso Lithium Project,41.6515,7.7035
Montalegre Lithium Project,41.8246,7.7356
Jadar Lithium Project,43.3644,19.4185
Rekovac Lithium Project,43.8768,21.1421
Vranje Lithium Project,42.5463,21.8968
Divljakovac Lithium Project,44.1879,21.7324
Strezovce Lithium Project,42.6344,21.5001
San Jose,36.7619796,-2.109435
Caceres,39.4752765,-6.3724247
Clayton Valley,7.966589,-122.0180173
Searless Lake,35.7318496,-117.3293277
Kamativi,-18.3223913,27.0530862
Arcadia,-17.7762047,31.4069532
Bikita,-20.1083174,31.7195459
Zulu,-20.2143317,28.5291933
