name,location,operator,latitude,longitude
Alloy Steel Plant,"Durgapur, West Bengal",SAIL,23.5204,87.3119
Bhilai Steel Plant,"Bhilai, Chhattisgarh",SAIL,21.1653,81.3955
Bokaro Steel Plant,"Bokaro Steel City, Jharkhand",SAIL,23.6693,86.1511
Chandrapur Ferro Alloy Plant,"Chandrapur, Maharashtra",SAIL,19.970324,               79.303360
Durgapur Steel Plant,"Durgapur, West Bengal",SAIL,23.5547,87.2468
Electrosteel Limited(ESL),"Bokaro, Jharkhand",Vedanta Resources,23.669296,86.151115
Essar Steel India Limited,"Hazira, Gujarat",ArcelorMittal,21.1265,72.658
IISCO Steel Plant,"Asansol, West Bengal",SAIL,23.6673,86.9173
JSL Stainless,"Jajpur, Odisha",Jindal Stainless Limited,26.91962,75.78781
Jindal Steel and Power Limited,"Raigarh, Chhattisgarh",Jindal Steel and Power,                   21.93284,83.35361
Jindal Steel and Power Limited,"Angul, Odisha",Jindal Steel and Power,20.91248512,                 85.006710
JSW Steel,"Hospet, Bellary, Karnataka",JSW Steel,                 15.161724,76.3989905
JSW Steel,"Tarapur, Boisar, Maharashtra",JSW Steel,15.1421,76.924
JSW Steel,"Dolvi,Dharamtar, Maharashtra",JSW Steel,                 18.702391 ,                73.046486
JSW Bhushan Power & Steel Limited,"Sambalpur, Orissa",JSW Steel,                     18.8008 ,                    72.9753
MECON (company),"Ranchi, Jharkhand",MECON (company),23.3478,85.3386
Monnet Ispat & Energy,"Raigarh, Chhattisgarh",JSW Ispat Special Products Limited,21.8976,83.3966
Nagarnar Steel Plant,"Jagdalpur, Chhattisgarh",National Mineral Development Corporation,                      19.0700,                    82.0300
Neelachal Ispat Nigam Limited,"Kalinganagar, Orissa",MMTC Ltd,20.9852,                    86.0092
Rourkela Steel Plant,"Rourkela, Odisha",SAIL,22.212888,84.862342
Salem Steel Plant,"Salem, Tamil Nadu",SAIL,18.7395432,72.7768088
Tata Steel Limited,"Jamshedpur, Jharkhand",Tata Steel,22.80122571,86.1996306
Tata Steel Limited,"Kalinganagar, Odisha",Tata Steel,20.9763099,86.0029523
Tata Steel Limited,"Meramandali,Dhenkanal, Odisha",Tata Steel BSL,20.8267353,85.255887
VISA Steel Plant,"Kalinganagar, Odisha",VISA Steel,20.8267353,85.2558877
Visakhapatnam Steel Plant,"Visakhapatnam, Andhra Pradesh",Rashtriya Ispat Nigam Limited,17.6345641,83.0606102
Visvesvaraya Iron and Steel Plant,"Bhadravati, Karnataka",SAIL,18.6574413,73.7832244
